fichier_source,import_path
./schema_diff_to_code_patch.ts,fs
./schema_diff_to_code_patch.ts,path
./schema_diff_to_code_patch.ts,child_process
./schema_diff_to_code_patch.ts,glob
./custom-nodes/audit-validator/index.js,./dist/nodes/AuditValidator/AuditValidator.node.js
./custom-nodes/audit-validator/nodes/AuditValidator/AuditValidator.node.ts,fs
./custom-nodes/audit-validator/nodes/AuditValidator/AuditValidator.node.ts,path
./custom-nodes/audit-validator/nodes/AuditValidator/AuditValidator.node.ts,glob
./custom-nodes/audit-validator/nodes/AuditValidator/AuditValidator.node.ts,child_process
./custom-nodes/mysql-mcp-node/MySqlMcpNode.ts,child_process
./custom-nodes/mysql-mcp-node/MySqlMcpNode.ts,util
./custom-nodes/mysql-mcp-node/MySqlMcpNode.ts,fs/promises
./custom-nodes/mysql-mcp-node/MySqlMcpNode.ts,path
./utils/audit-report-generator.ts,fs
./utils/audit-report-generator.ts,path
./utils/audit-report-generator.ts,marked
./utils/audit-history-manager.ts,@supabase/supabase-js
./utils/audit-history-manager.ts,dotenv
./utils/audit-history-manager.ts,fs
./utils/audit-history-manager.ts,path
./utils/teams-notification.ts,axios
./utils/teams-notification.ts,dotenv
./utils/validate-audit-outputs.ts,fs
./utils/validate-audit-outputs.ts,path
./utils/validate-audit-outputs.ts,glob
./utils/validate-audit-outputs.ts,chalk
./utils/traceability/traceability-service.ts,@nestjs/common
./utils/traceability/traceability-service.ts,crypto
./utils/traceability/traceability-service.ts,@supabase/supabase-js
./utils/audit-quality-analyzer.ts,fs
./utils/audit-quality-analyzer.ts,path
./utils/audit-quality-analyzer.ts,glob
./utils/audit-quality-analyzer.ts,chalk
./utils/source-target-linker.ts,fs
./utils/source-target-linker.ts,path
./utils/source-target-linker.ts,./audit-history-manager
./utils/source-target-linker.ts,react
./utils/source-target-linker.ts,@remix-run/node
./utils/source-target-linker.ts,@remix-run/react
./utils/source-target-linker.ts,framer-motion
./utils/supabaseClient.ts,@supabase/supabase-js
./utils/supabaseClient.ts,./types
./utils/supabaseClient.ts,dotenv
./utils/supabaseClient.ts,@supabase/supabase-js
./utils/supabase-integration.ts,@supabase/supabase-js
./utils/supabase-integration.ts,dotenv
./utils/supabase-integration.ts,fs
./utils/supabase-integration.ts,path
./utils/report-generator.ts,fs
./utils/report-generator.ts,path
./utils/circuit-breaker/base-circuit-breaker.ts,events
./utils/circuit-breaker/orchestration-circuit-breaker.ts,@nestjs/common
./utils/circuit-breaker/orchestration-circuit-breaker.ts,../../config/core/unified-config
./utils/circuit-breaker/orchestration-circuit-breaker.ts,../traceability/traceability-service
./utils/governance/governance-mesh.ts,events
./utils/governance/governance-mesh.ts,@nestjs/common
./utils/governance/governance-mesh.ts,../../config/core/unified-config
./utils/governance/governance-mesh.ts,../traceability/traceability-service
./utils/recheck-missing-outputs.ts,fs
./utils/recheck-missing-outputs.ts,path
./utils/recheck-missing-outputs.ts,child_process
./utils/recheck-missing-outputs.ts,chalk
./utils/recheck-missing-outputs.ts,./validate-audit-outputs
./utils/recheck-missing-outputs.ts,glob
./utils/discord-notification.ts,@fafaDoDotmcp-agents-CiTester
./utils/discord-notification.ts,dotenv
./test-config.ts,path
./test-config.ts,fs
./test-config.ts,child_process
./test-config.ts,jest
./tests/agents/test-php-analyzer-v2.ts,../../packagesDoDotmcp-agents/analyzers/php-analyzer/php-analyzer-v2
./tests/agents/test-abstract-analyzer.ts,../../packagesDoDotmcp-agents/analyzers/abstract-analyzer-agent
./tests/agents/test-base-analyzer.ts,../../packagesDoDotmcp-agents/analyzers/base-analyzer-agent
./tests/agents/test-base-analyzer.ts,../../packagesDoDotmcp-agents/core/interfaces
./config/core/schemas/business-schema.ts,zod
./config/core/schemas/orchestration-schema.ts,zod
./config/core/schemas/agent-schema.ts,zod
./config/core/unified-config.ts,fs-extra
./config/core/unified-config.ts,path
./config/core/unified-config.ts,lodash
./config/core/unified-config.ts,zod
./config/core/unified-config.ts,@nestjs/common
./config/core/unified-config.ts,./schemas/orchestration-schema
./config/core/unified-config.ts,./schemas/agent-schema
./config/core/unified-config.ts,./schemas/business-schema
./config/trigger/github-to-mcp.ts,@trigger.dev/sdk
./config/trigger/github-to-mcp.ts,@trigger.devDoDoDoDoDoDotgithub
./config/trigger/github-to-mcp.ts,@temporalio/client
./config/trigger/github-to-mcp.ts,ioredis
./config/config.js,path
./config/config.js,fs-extra
./config/config.ts,path
./config/config.ts,fs-extra
./agentRegistry.ts,fs-extra
./agentRegistry.ts,path
./agentRegistry.ts,@nestjs/common
./agentRegistry.ts,./src/core/interfaces/BaseAgent
./agentRegistry.ts,./src/core/interfaces/orchestration
./agentRegistry.ts,./src/core/interfaces/coordination
./agentRegistry.ts,./src/core/interfaces/business
./agentRegistry.ts,./agents/QaAnalyzer
./agentRegistry.ts,./agents/PhpAnalyzer-agent
./agentRegistry.ts,./agents/DiffVerifier
./agentRegistry.ts,./agents/SeoChecker
./agentRegistry.ts,./agentsDotMcpManifestManager
./agentRegistry.ts,./agents/DevLinter
./agentRegistry.ts,./agents/MonitoringCheck
./agentRegistry.ts,./agents/notifier
./agentRegistry.ts,./agents/orchestrator
./agentRegistry.ts,./agents/PrCreator
./agentRegistry.ts,./agents/BullmqOrchestrator
./examples/php-to-remix-migration-workflow.ts,./BullmqOrchestrator
./examples/php-to-remix-migration-workflow.ts,@nestjs/common
./examples/php-to-remix-migration-workflow.ts,path
./examples/php-to-remix-migration-workflow.ts,fs
