2025-04-20 00:25:20 - 🔍 Recherche des agents problématiques...
2025-04-20 00:25:20 - Vérification de l'agent: htaccess-router-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/htaccess-router
2025-04-20 00:25:20 - ✅ L'agent htaccess-router-analyzer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: abstract-analyzer-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/abstract-analyzer
2025-04-20 00:25:20 - ✅ L'agent abstract-analyzer-agent semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: base-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/base
2025-04-20 00:25:20 - ✅ L'agent base-agent semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: monitoring-check dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/monitoring-check
2025-04-20 00:25:20 - ✅ L'agent monitoring-check semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: agent-business dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/agent-business
2025-04-20 00:25:20 - ✅ L'agent agent-business semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: status-writer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/status-writer
2025-04-20 00:25:20 - ✅ L'agent status-writer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: agent-structure dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/agent-structure
2025-04-20 00:25:20 - ✅ L'agent agent-structure semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: table-cartographer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/table-cartographer
2025-04-20 00:25:20 - ✅ L'agent table-cartographer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: nginx-config-parser dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/nginx-config-parser
2025-04-20 00:25:20 - ✅ L'agent nginx-config-parser semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: helpers dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/helpers
2025-04-20 00:25:20 - ✅ L'agent helpers semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: devops-preview dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/devops-preview
2025-04-20 00:25:20 - ✅ L'agent devops-preview semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: businessagent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/businessagent
2025-04-20 00:25:20 - ✅ L'agent businessagent semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: data-analyzer-v2 dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/data-analyzer
2025-04-20 00:25:20 - ✅ L'agent data-analyzer-v2 semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: php-router-audit dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/php-router-audit
2025-04-20 00:25:20 - ✅ L'agent php-router-audit semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: agent-communication dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/agent-communication
2025-04-20 00:25:20 - ✅ L'agent agent-communication semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: pipeline-strategy-auditor dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/pipeline-strategy-auditor
2025-04-20 00:25:20 - ✅ L'agent pipeline-strategy-auditor semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: adapt-agents dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/adapt-agents
2025-04-20 00:25:20 - ✅ L'agent adapt-agents semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: nginx-config-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/nginx-config
2025-04-20 00:25:20 - ✅ L'agent nginx-config-analyzer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: parser dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/parser
2025-04-20 00:25:20 - ✅ L'agent parser semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: debt-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/debt
2025-04-20 00:25:20 - ✅ L'agent debt-analyzer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: type-auditor dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/type-auditor
2025-04-20 00:25:20 - ✅ L'agent type-auditor semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: prisma-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/prisma
2025-04-20 00:25:20 - ✅ L'agent prisma-analyzer semble correctement implémenté
2025-04-20 00:25:20 - Vérification de l'agent: pr-creator dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/pr-creator
2025-04-20 00:25:21 - ✅ L'agent pr-creator semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: schema-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/schema
2025-04-20 00:25:21 - ✅ L'agent schema-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: mysql-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/mysql
2025-04-20 00:25:21 - ✅ L'agent mysql-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: monorepo-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/monorepo
2025-04-20 00:25:21 - ✅ L'agent monorepo-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: qa-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/qa
2025-04-20 00:25:21 - ✅ L'agent qa-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: seo-mcp-controller dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/seo-mcp-controller
2025-04-20 00:25:21 - ✅ L'agent seo-mcp-controller semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: dependencyagent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/dependencyagent
2025-04-20 00:25:21 - ✅ L'agent dependencyagent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: dev-integrator dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/dev-integrator
2025-04-20 00:25:21 - ✅ L'agent dev-integrator semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: coordinator-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/coordinator
2025-04-20 00:25:21 - ✅ L'agent coordinator-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: htaccess-route-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/htaccess-route
2025-04-20 00:25:21 - ✅ L'agent htaccess-route-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: dependency-analyzer-v2 dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/dependency-analyzer
2025-04-20 00:25:21 - ✅ L'agent dependency-analyzer-v2 semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: abstract-processor-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/abstract-processor
2025-04-20 00:25:21 - ✅ L'agent abstract-processor-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: index dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers
2025-04-20 00:25:21 - ✅ L'agent index semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: sql-prisma-migration-planner dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/sql-prisma-migration-planner
2025-04-20 00:25:21 - ✅ L'agent sql-prisma-migration-planner semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: file-manager dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/file-manager
2025-04-20 00:25:21 - ✅ L'agent file-manager semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: mcp-verifier dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/mcp-verifier
2025-04-20 00:25:21 - ✅ L'agent mcp-verifier semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: abstract-analyzer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/abstract
2025-04-20 00:25:21 - ✅ L'agent abstract-analyzer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: abstract-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/abstract
2025-04-20 00:25:21 - ✅ L'agent abstract-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: mysql-to-pg dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/mysql-to-pg
2025-04-20 00:25:21 - ✅ L'agent mysql-to-pg semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: layered-agent-auditor dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/layered-agent-auditor
2025-04-20 00:25:21 - ✅ L'agent layered-agent-auditor semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: sql-debt-audit dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/sql-debt-audit
2025-04-20 00:25:21 - ✅ L'agent sql-debt-audit semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: agent8-optimizer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/agent8-optimizer
2025-04-20 00:25:21 - ✅ L'agent agent8-optimizer semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: dev-linter dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/dev-linter
2025-04-20 00:25:21 - ✅ L'agent dev-linter semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: type-mapper dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/type-mapper
2025-04-20 00:25:21 - ✅ L'agent type-mapper semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: interfaces dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/interfaces
2025-04-20 00:25:21 - ✅ L'agent interfaces semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: remediator dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/remediator
2025-04-20 00:25:21 - ✅ L'agent remediator semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: auto-pr-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/auto-pr
2025-04-20 00:25:21 - ✅ L'agent auto-pr-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: agent-version-auditor dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/agent-version-auditor
2025-04-20 00:25:21 - ✅ L'agent agent-version-auditor semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: ci-tester dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/ci-tester
2025-04-20 00:25:21 - ✅ L'agent ci-tester semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: discovery-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/discovery
2025-04-20 00:25:21 - ✅ L'agent discovery-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: baseagent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/baseagent
2025-04-20 00:25:21 - ✅ L'agent baseagent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: dataagent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/dataagent
2025-04-20 00:25:21 - ✅ L'agent dataagent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: debt-detector dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/debt-detector
2025-04-20 00:25:21 - ✅ L'agent debt-detector semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: php-analyzer-agent dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/php-analyzer
2025-04-20 00:25:21 - ✅ L'agent php-analyzer-agent semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: php-analyzer-v2 dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/php-analyzer
2025-04-20 00:25:21 - ✅ L'agent php-analyzer-v2 semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: php-analyzer-v3 dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/php-analyzer
2025-04-20 00:25:21 - ✅ L'agent php-analyzer-v3 semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: php-analyzer-v4 dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/php-analyzer
2025-04-20 00:25:21 - ✅ L'agent php-analyzer-v4 semble correctement implémenté
2025-04-20 00:25:21 - Vérification de l'agent: mysql-analyzer+optimizer dans /workspaces/cahier-des-charge/packages/mcp-agents/analyzers/mysql-analyzer+optimizer
2025-04-20 00:25:21 - ✅ L'agent mysql-analyzer+optimizer semble correctement implémenté
